#iitb entries	iitb
3rd	wIsarA
Abhimanyu's	aBimanyu
Agni	agni
Ah	Aha
Ahh	Aha
Arjun's	arjuna
Arjuna	arjuna
Arjuna's	arjuna
Brahmi	brAhmI
Buddhi-yoga	buxXiyoga
De-grime	dI-grima
Dharmakshetra	XarmakRewra
Dhritarashtra's	XqwarARtra
Dhrstaketu	XqRtakewu
Dhrtarastrah	XqwarARtra
Dronacharya's	xroNAcArya
Duryodhan	xuryoXana
Duryodhana	xuryoXana
Fig.	ciwra
Ganga	gafgA
Gita	gIwA
Granduncle	piwAmaha
Gudaka	gudAkA
Gudakesa	gudAkeSa
Kalinga	kaliMga
Kasiraja	kASirAja
Kaurav	kOrava
Krishn	kqRNa
Krpaacaarya's	kqpAcArya
Kurukshetra	kurukRewra
Maharashtra	mahArARtra
Maitrakas	mEwrakasa
Manu	manu
O	he
Pandav	pANdava
Pandu	pANdu
Ramachandra	rAmacanxra
Saibya	SEbya
Sanjaya	saFjaya
Shantanu	SAnwanu
Tambe	wAmbe
Urvashi's	urvaSI
Vichitravirya	viciwravIrya
Ya	ya
a	koI/eka_EsA/prawi/kisI
ability	xakRawA
abolish	naRta_kara
above	uparokwa
academic	SEkRaNika
accelerated	wvayariwa
accept	mAna/mAna_BI_le
access	eksesa
accomplishments	upalabXiyAM
accountability	jabAvaxehI
accrued	upArjiwa
accuracy	satIkawA
accurate	satIka/saha
aces	esIIesa
acetic	esItika
achieve	prApwa_ho/hAsila_kara
acid	kRArIya
acquire	arjiwa
acquisition	aXigrahaNa
act	kAnUna
activities	gawiviXiyAM
activity	EktivitI/kriyAkalApa
actuarial	bImAfkikIya
additional	awirikwana
adequately	paryApwa
adjourning	sWagana_kara
administered	praSAsiwa
administrative	praSAsana
adolf	edoYlPa
advanced	AXunika
adventurous	sAhasI
adverse	viRama
advertised	vijFApiwa_kara
affect	graswa_ho
affectionate	prema/priya
affidavit	SapaWapawra
affirmations	puRtikaraNa
afghanistan	aPagAniswAna
agencies	ejeMsiya
agency	ejeMsI
agenda	ejeMdA/kArya-sUcI
agent	ejeMta
aggrieved	pIdiwa
agile	cuswa/ejAila
agree	sahamawa
agriculture	egrIkalcara
agro	kqRi
ahead	Age
ahh	Aha
aho	aho
air-conditioning	eyarakaNdISaniMga
airline	eyaralAina
akbar	akabara
alarm	alArma
alcohol	SarAba
alert	sajaga
all	sabakA/hara
allied	anya
allocation	AbaNtana
allot	AvaNtiwa
allowed	anumawi
aloud	jora-jora_se
alternative	xUsarI
although	hAlAzki
aluminium	elyUmIniyama
always	niranwara
amalgamation	samAmelana
an	koI/EsA/EsI/kisI/kisI_BI/koI_BI
analytical	viSlenaRaNAwmaka
ancillary	anuRafgI
and	eMda
andhra	AnXra
angry	kroXa
animal	paSupAlana
another	anya
answer	uwwaraH
anti-clockwise	vAmAvarwa
any	kisI
anytime	kaBI_BI
apollo	apolo
apparel	pariXAna
applicable	sakriya
application	eplikeSana/Avexana
appoint	niyukwi
appraisals	mUlyAfkana
approach	xqRtikoNa
approval	maFjUrI
approved	svIkqwa/anumoxiwa/maFjUrI
archaeologist	purAwawvavix
are	hE
area	ilAkA
argue	warka_kara/warka
aristotle	araswu
army	senA
arrested	giraPwAra
artificially	kqwrima
artistry	kalA-kOSala
arunachalam	aruNAcalam
aryan	Arya
as	uwanA/jEsA_ki/Ora
asana	Asana
ascertain	niScaya
asp-style	eesapI-SElI/eesapI-stAila
aspiring	AkAfkRI
assemble	ekawra
assertively	xqDawApUrvaka
asset	pa
assets	parisampawwiya/parisampawwiyAM
assignment	asAinameMta
assistance	sahayoga
associated	sambaxXa
association	esosieSana
asthma	asWamA
atheistic	nAswikwAvAxI
atherosclerosis	eWerosklerosisa
atomic	paramANu
atra	awra/awrA
attachment	Asakwi/atEcmenta
attack	hamalA_kara
attacking	hamalA_kara
attendant	paricara
attitude	pravqwwi
audience	xarSaka
audio	oYdiyo
audio-visual	Sravya-xqSya
audit	leKAparIkRA
authentication	aBipramANana
authorised	mAnya
authority	aWoYritI/prAXikaraNa/aXikaraNa
authorization	oYWarAijeSana
automated	svacAliwa
automatic	svawaH
automatically	svawaH
automobile	oYtomobAila
automobiles	oYtomobAila
automotive	oYtomotiva
available	nakalI/upalabGa
avanti	avanwi
aviation	vimAnana
avoid	tAla_xe
await	prawIkRA_kara
awaken	jAgqwa_ho
backspace	bEkaspesa
backup	bEkaapa
backwards	pICe_kI_waraPa
bad	burI
badly	burI_waraha
bank	bEka
banking	bEMkiMga
bargaining	sOxebAjI
basal	AXAra
basic	prAramBika
battle	yuxXa/yuxXa_kara
battlefield	yuxXaBUmi
bauxite	boYksAita
be	hE
bearing	promisarI
beautiful	KUbasUrawa
because	cUzki
become	bane_ho
befit	anukUla
before	pahale_BI/ke_pUrva
beg	BikRAtana_kara/mAzga_kara
begin	hone_laga/SurUAwa
beginning	SuBAramBa
begins	SurUAwa
behave	vyavahAra
behavioral	vyavahArika
being	hewu
belonging	sambanXiwa
below	nIcA
belt-buckle	belta-bakala
benediction	varaxAna
benefit	lABaH
benefitted	lABAnviwa
bengal	bafgAla
bereft	vaFciwa
best	uwkqRta
better	SreRTa/behawara_warIkA
bhagavat-prasaado	BagavawprasAxo
bhagavatee	Bagavawo
big	badI
bigger	badI
bilingual	xviBARIya
bills	huNdiyAM
binding	bAXya_ho
bio-diversity	jEva-viviXawA
bio-fuel	bAyo-IMXana
bio-fuels	bAyo-IMXana
bitter	kadavI
black	kAlI
bless	rakRA_kara
blind	anaBijFa
blossom	moYnasUna
blue	nIlI
boar	sUara
boarding	bordiMga
bole	bole
bond	riSwA
bondage	banXana
bonded	bANdayukwa
bonds	bANda
bones	haddiyAM
boomers	bUmarsa
bordeaux	boradoYksa
born	janma_ho
borrow	uXAra
borrowing	uXAra
both	xonA
boundless	sImAhIna
bouquets	puRpagucCa
bowman	XanurXara
boyfriend	boYiPrenda
braces	bresesa
brackish	namakIna
brahman	brahmAn
brainstorming	buxXiSIlawA
breath	sAMsa
breathing	sAzsa
breeding	prajanana
bride	vaXU
briefly	safkRipwa
brilliant	wejasvI
broad	vqhawa
broadly	mOte_wOra_para
buddhi-yoga	buxXiyoga
buddhist	bOxXa
budgetary	bajatIya
buffalo	BEMsa
builders	nirmANakarwA
built	nirmiwa
bullet	buleta
burn	jala_raha
business	bijanesa/vyAvasAyika/kArobArI/vyApArI
butadiene	byUtAdAina
by-product	upasqRti
c-dac	sI-dEka
ca	ca
cabin	kebina
calculated	parikalanA
call	kahalA
calmly	SAnwa_svaBAva_se/SAzwi_se
camping	kEMpiMga
campus	kEMpasa
camsa-kalaahpumsah	cAMSakalAH
canonical	kEnonikala
cant	sahAyawA
capital	kEpitala/pUFjI
career	kariyara
carefully	XyAna_se/XyAnapUrvaka/sAvaXAnIpUrvaka
carelessly	lAparavAhI
cargo	kArgo
castor	kAstara
casual	kEjuala
catalogue	ketaloYga
category	SreNI
cause	uwpanna_ho
celebrate	jaSna_manA
celebrity	prawiRTiwa
central	mahawvapUrNa
centrally	keMxrIya
certainly	nissanxeha/niSciwa_rUpa_se/niScaya_hI
certified	pramANiwa
challengers	cEleMjarsa
challenges	cunOwiyAM
challenging	cunOwIpUrNa
chanakya	cANakya
change	parivarwana_ho/baxala_kara
changed	parivarwiwa
characteristics	guNa
charged	praBAviwa
charges	KarcA
chart	cArta
cheap	saswI
check	jAzca_kara/mUlyAfkana_kara
child	bAlaka
child-friendly	miwravawa
childhood	bAlyakAla
chilli	mircI
chocolate	coYkaleta
cholesterol	kolestrola
chunk	BAga
cit-kanah	ciwkaNaH
civil	sivila
claim	kaha
clang	klEMga
clashes	takarAva
claw	kloY
clean	spaRta
clear	sAPa-sAPa
clearly	spaRtawA_se/spaRta/spaRta_rUpa_se
clears	maFjUra
clients	klAiMtsa
climber	parvawArohI
clonal	klonala
cm	semI
co-operation	sahayoga
coaching	kociMga
coated	lepiwa
coating	kotiMga
coatings	kotiMga
cobra	kobarA
coca	kokA
cocoa	kokoA
coding	kodiMga
coercion	xabAva
coin	sikka
collaborative	sahayogAwmaka
collaterals	samAnAnwara
colleagues	sahayogI
collected	safgrahiwa
collectively	sAmUhika_rUpa
colonists	upaniveSavAxiya
combat	yuxXa
combined	sammiliwa/saMyukwa
commercial	vyAvasAyika
commitment	prawibaxXawA
committee	saMsAXana
communication	saMvAxa
community	sAmuxAyika/kutumba/jAwi
companies	kampaniyAM
comparatively	apekRAkqwa
compassion	karuNA
compatible	susafgawa
compensation	kRawipUrwi
competitive	prawisparXI
completely	pUrNawayA/pUrI_waraha_se
component	safGataka
components	safGataka
composure	XErya
compulsory	ho-anivArya
computed	parikaliwa
computing	kampyUtiMga
concepts	parikalpanA
concerns	cinwA/sambanXiwa
conclusive	niScayAwmaka/niRkarRAwmaka
conditional	saSarwa
conducive	anukUla
confectionery	koYnPekaSanarI
confident	AwmaviSvAsa
confidently	AwmaviSvAsa_ke_sAWa
confined	kanPAiMda
conflicts	takarAva
confusions	sanxeha
congenial	sahajIvI
congo	koMgo
connectivity	samparka
conquered	jIwa_le
consciousness	cewa
consequently	PalawaH
conservation	aneka
considerate	vicAraSIla
consideration	prawiPala
consistent	safgawa
consolidated	samekiwa
conspicuous	suspakaRta
constantly	niranwara
constraints	bAXyawA
construct	banAye_jA
construction	banAvata
consultancy	kaMsalteMsI/parAmarSa
containers	kaNtenara
content	kaNteMta
contingencies	AkasmikawA
continuous	niranwara
continuously	niranwara
contribute	sahAyaka
control	vaSa/niyanwraNAXIna/nivAraNa
controller	niyAmaka
convenient	suviXAnusAra
convention	kanveMSana
convergence	aBiliKiwa
convergent	kanavarjeMta
conversion	rUpAnwaraNa
converted	rUpAnwariwa
cooperative	sahayogapUrNa
coordinating	samanvaya
coordination	samanvaya
core	mUla/kora/muKya
corporate	koYporreta/nigamiwa
correctly	sahI-sahI
corresponding	waxanurUpI
cost-efficient	lAgawaxakRa
costlier	mahafge
counsel	sawparAmarSa
counter	vixrohI
courteous	vinamra
covering	AcCAxana
create	pExA_kara
creation	prawi
creative	racanAwmaka
credentials	kredeMSiyala
credible	viSvaSasanIya
credit	kredita/qNa
creditor	qNaxAwA
creditors	qNaxAwA
critically	awyanwa
crop	upaja
cross	kroYsa
cross-sectional	anuprasWa_paricCexa
crucial	mahawvapUrNa
cultivators	Kewihara
culture	pAlana
currency	kareMsI
current	varwamAna
curse	aBiSApa
custodians	kastodiyana
d	xa
damaged	kRawigraswa
dark	anXakAramaya
data	Afkade
data-base	dAtAbesa
databases	banA
daughter	puwrI
day	roja
de-grime	dI-grima
dearest	priya
debate	carcA_kara
debentures	dibencara
decided	PEsalA_kara
decode	dIkoda
deepen	gaharAI
deeper	gaharAI_se
deferred	vilambiwa
defining	pAriBARiwa
definitely	nissanxeha
degrade	apamAniwa_kara
degraded	vana/vikAsa
degree	swarIya
delegated	sOMpA_jA
deleted	hatA
deliberately	jAna-bUJa_kara/jAnabUJakara
delightful	Ananxamaya
deltoid	wrikoNAkAra
delusion	moha
demi-official	arXa-AXikArika
democracy	prajAwanwra
democratic	lokawAnwrika
denial	asvIkqwi
denote	nirUpiwa_kara
department	viBAgIya
deposit	jama
depositors	jamAkarwA
derive	prApwa/vyuwpanna
desert	marusWala
designation	paxa
designations	paxanAma
designing	dijAiniMga
desire	icCA_ho/icCA_raKa
desired	vAFCiwa
destroy	vinaRta_kara
destructive	vinASakArI
detachment	virakwi
deterioration	girAvata
detox	viRaharaNa
devarsi	xevarRi
developers	devalaparsa
devotee	BagavaxBakwa
devotion	Bakwi/anurakwi/samarpaNa
dharma-kshetra	XarmakRewra
dhaval	Xavala
diction	uccAraNa
different	alaga-alaga/Binna-Binna/viviXa
differently	alaga-alaga
difficult	kaTinAI/vikata
diligently	karmaTawApUrvaka
dimension	vimA
diplomat	rAjanIwijFa
direct	nirxeSiwa_kara/dAyarekta/sIXI
directly	prawyakRa/prawyakRa_rUpa_se/sIXA
dirt	ganxagI
disagree	asahamawi/asahamawa
discharge	nirvAha_kara
disciplined	anuSAsiwa
disclose	uxGAtana
discovery	anvesaRaNa
disease-specific	roga-viSiRta
dislikes	nApasanxa
disorder	aswa-vyaswa
dissemination	prasAra/viswAra
dissipate	vinaRta_kara
dissolved	pAraxarSiwA
distress	xuKa
districts	jile
divergent	dAivarjeMta
diversified	viviXikqwa
divine	xEvIya/xivya
doctrinal	sExXAnwika
document	doYkyUmenta/kAgajAwa
documentary	doYkyumeMtarI
documentation	xaswAveja
documents	kAgajAwa
dominant	praBuwva
dominate	CA
donor	hissA-xAwA
doubtful	sanXigXa/asanxigXa
down	nice
downloads	dAunaloda
downward	aXomuKI
draft	prArUpa
drafts	prArUpa
drastic	BArI
draw	KadA
drawing	drAiviMga
dreamreads	drImarIdsa
dress	pahanAvA
driving	drAiviMga
drupada-putrena	xrupaxapuwreNa
dry	sUKa_jA
dumping	dampiMga
duplicate	duplIketa
duties	dyUtI
duty	dyUtI
dwell	vAsa_kara
dynamic	dAyanemika
e-commerce	I-koYmarsa
e-filing	I-PAiliMga
e-governance	I-gavarneMsa/I-SAsana
e-learning	I-aXigama
